5.1,3.5,1.4,0.02
4.9,3,1.4,0.02
4.7,3.2,1.3,0.02
4.6,3.1,1.5,0.02
5,3.6,1.4,0.02
5.4,3.9,1.7,0.04
4.6,3.4,1.4,0.03
5,3.4,1.5,0.02
4.4,2.9,1.4,0.02
4.9,3.1,1.5,0.01
5.4,3.7,1.5,0.02
4.8,3.4,1.6,0.02
4.8,3,1.4,0.01
4.3,3,1.1,0.01
5.8,4,1.2,0.02
5.7,4.4,1.5,0.04
5.4,3.9,1.3,0.04
5.1,3.5,1.4,0.03
5.7,3.8,1.7,0.03
5.1,3.8,1.5,0.03
5.4,3.4,1.7,0.02
5.1,3.7,1.5,0.04
4.6,3.6,1,0.02
5.1,3.3,1.7,0.05
4.8,3.4,1.9,0.02
5,3,1.6,0.02
5,3.4,1.6,0.04
58,42,20,0.4
5.2,3.5,1.5,0.02
5.2,3.4,1.4,0.02
4.7,3.2,1.6,0.02
4.8,3.1,1.6,0.02
5.4,3.4,1.5,0.04
5.2,4.1,1.5,0.01
5.5,4.2,1.4,0.02
4.9,3.1,1.5,0.01
5,3.2,1.2,0.02
5.5,3.5,1.3,0.02
4.9,3.1,1.5,0.01
4.4,3,1.3,0.02
5.1,3.4,1.5,0.02
5,3.5,1.3,0.03
4.5,2.3,1.3,0.03
4.4,3.2,1.3,0.02
5,3.5,1.6,0.06
5.1,3.8,1.9,0.04
4.8,3,1.4,0.03
5.1,3.8,1.6,0.02
4.6,3.2,1.4,0.02
5.3,3.7,1.5,0.02
5,3.3,1.4,0.02
59,42,19,0.4
7,3.2,4.7,0.14
6.4,3.2,4.5,0.15
6.9,3.1,4.9,0.15
5.5,2.3,4,0.13
6.5,2.8,4.6,0.15
5.7,2.8,4.5,0.13
6.3,3.3,4.7,0.16
4.9,2.4,3.3,0.1
6.6,2.9,4.6,0.13
5.2,2.7,3.9,0.14
5,2,3.5,0.1
5.9,3,4.2,0.15
6,2.2,4,0.1
6.1,2.9,4.7,0.14
5.6,2.9,3.6,0.13
6.7,3.1,4.4,0.14
5.6,3,4.5,0.15
69,32,45,1.5
5.8,2.7,4.1,0.1
6.2,2.2,4.5,0.15
5.6,2.5,3.9,0.11
5.9,3.2,4.8,0.18
6.1,2.8,4,0.13
6.3,2.5,4.9,0.15
6.1,2.8,4.7,0.12
6.4,2.9,4.3,0.13
6.6,3,4.4,0.14
6.8,2.8,4.8,0.14
6.7,3,5,0.17
6,2.9,4.5,0.15
5.7,2.6,3.5,0.1
5.5,2.4,3.8,0.11
5.5,2.4,3.7,0.1
5.8,2.7,3.9,0.12
6,2.7,5.1,0.16
5.4,3,4.5,0.15
6,3.4,4.5,0.16
6.7,3.1,4.7,0.15
6.3,2.3,4.4,0.13
5.6,3,4.1,0.13
5.5,2.5,4,0.13
5.5,2.6,4.4,0.12
6.1,3,4.6,0.14
5.8,2.6,4,0.12
5,2.3,3.3,0.1
5.6,2.7,4.2,0.13
5.7,3,4.2,0.12
5.7,2.9,4.2,0.13
6.2,2.9,4.3,0.13
5.1,2.5,3,0.11
5.7,2.8,4.1,0.13
61,28,46,1.6
6.3,3.3,6,0.25
5.8,2.7,5.1,0.19
7.1,3,5.9,0.21
6.3,2.9,5.6,0.18
6.5,3,5.8,0.22
7.6,3,6.6,0.21
4.9,2.5,4.5,0.17
7.3,2.9,6.3,0.18
6.7,2.5,5.8,0.18
7.2,3.6,6.1,0.25
6.5,3.2,5.1,0.2
6.4,2.7,5.3,0.19
6.8,3,5.5,0.21
5.7,2.5,5,0.2
5.8,2.8,5.1,0.24
6.4,3.2,5.3,0.23
6.5,3,5.5,0.18
7.7,3.8,6.7,0.22
7.7,2.6,6.9,0.23
6,2.2,5,0.15
6.9,3.2,5.7,0.23
5.6,2.8,4.9,0.2
7.7,2.8,6.7,0.2
6.3,2.7,4.9,0.18
6.7,3.3,5.7,0.21
7.2,3.2,6,0.18
6.2,2.8,4.8,0.18
6.1,3,4.9,0.18
6.4,2.8,5.6,0.21
7.2,3,5.8,0.16
7.4,2.8,6.1,0.19
7.9,3.8,6.4,0.2
6.4,2.8,5.6,0.22
75,32,57,2.2
6.3,2.8,5.1,0.15
6.1,2.6,5.6,0.14
7.7,3,6.1,0.23
6.3,3.4,5.6,0.24
6.4,3.1,5.5,0.18
6,3,4.8,0.18
6.9,3.1,5.4,0.21
6.7,3.1,5.6,0.24
6.9,3.1,5.1,0.23
5.8,2.7,5.1,0.19
6.8,3.2,5.9,0.23
6.7,3.3,5.7,0.25
6.7,3,5.2,0.23
6.3,2.5,5,0.19
6.5,3,5.2,0.2
6.2,3.4,5.4,0.23
5.9,3,5.1,0.18
76,34,59,2.3
